'Planner', 'Visualization',Simulation_Time,'Max nr of acs in grid', 'dt', 'Nr Spawned acs', 'Avg nr of acs in grid',Mean t CBS',Max_t_alg, 'Total time',Average_route_time_per_ac,Max_route_time_per_ac,'Average route length per ac','Max route length per ac',,,CoV TTT,CoV ARA,CoV MRT,CoV MAT,,,,,
CBS,FALSE,98,5,0.5,50,4.316326531,0.006091265,0.10275197,4.291077137,8.96,12,17.92,24,,69,0.038790488,0.040137509,0.034042071,2.114823269,,,,,
CBS,FALSE,104.5,5,0.5,50,4.248803828,0.053110314,0.797277212,6.260870457,9.38,12,18.76,24,,70,0.040043501,0.040699542,0.033884537,2.095799635,,,,,
CBS,FALSE,104.5,5,0.5,50,4.301435407,0.012682578,0.103708029,5.307167292,9.49,12,18.98,24,,71,0.041176207,0.041529526,0.033728382,2.108609882,,,,,
CBS,FALSE,97.5,5,0.5,50,4.302564103,0.060688219,1.269630671,7.294905901,8.89,12.5,17.78,25,,72,0.040927595,0.041256677,0.033578908,2.072622804,,,,,
CBS,FALSE,98,5,0.5,50,4.43877551,0.015098155,0.138641834,4.724021196,9.2,12,18.4,24,,73,0.040715303,0.041326002,0.033430137,2.08330146,,,,,
CBS,FALSE,105,5,0.5,50,4.152380952,0.017812471,0.553638935,4.530062914,9.22,12,18.44,24,,74,0.041869736,0.041417676,0.033282609,2.075069894,,,,,
CBS,FALSE,94.5,5,0.5,50,4.328042328,0.011457646,0.313162565,4.552498817,8.68,12,17.36,24,,75,0.041633279,0.041169096,0.033136347,2.077303991,,,,,
CBS,FALSE,94,5,0.5,50,4.382978723,0.030126201,0.887886047,5.651471853,8.74,12,17.48,24,,76,0.041433204,0.040901582,0.032991367,2.056158316,,,,,
CBS,FALSE,100,5,0.5,50,4.36,0.021645123,0.654237509,5.258606434,9.22,12,18.44,24,,77,0.041417498,0.040990065,0.032847687,2.044256092,,,,,
CBS,FALSE,98,5,0.5,50,4.489795918,0.013298745,0.114663839,4.643719673,9.3,12,18.6,24,,78,0.041204229,0.041211593,0.032705315,2.055155739,,,,,
CBS,FALSE,96.5,5,0.5,50,4.316062176,0.005680799,0.020943642,4.839324474,8.83,12,17.66,24,,79,0.04094046,0.040946596,0.032564262,2.070261429,,,,,
CBS,FALSE,97,5,0.5,51,4.469072165,0.058118241,1.333940506,7.111067057,9,13,18,26,,80,0.040691008,0.040754049,0.033118638,2.035529274,,,,,
CBS,FALSE,91.5,5,0.5,50,4.426229508,0.016493455,0.204488993,5.286537409,8.6,12.5,17.2,25,,81,0.040799959,0.040590929,0.032996606,2.042009461,,,,,
CBS,FALSE,102,5,0.5,50,4.289215686,0.007817405,0.07986927,5.230108023,9.25,12,18.5,24,,82,0.041101697,0.040706957,0.032864578,2.053827197,,,,,
CBS,FALSE,95.5,5,0.5,50,4.172774869,0.004896874,0.018953562,5.318358421,8.47,12,16.94,24,,83,0.040858211,0.040692652,0.032733594,2.068271943,,,,,
CBS,FALSE,97,5,0.5,50,4.180412371,0.004816943,0.022939444,5.582014084,8.61,12.5,17.22,25,,84,0.040620778,0.040527086,0.032620899,2.082412551,,,,,
CBS,FALSE,89.5,5,0.5,50,4.402234637,0.004765064,0.028950453,5.207389832,8.38,12,16.76,24,,85,0.041086117,0.04063841,0.032495249,2.096156373,,,,,
